i,t,y1,y2,y3,dy1,dy2,dy3
5002,50.009999999998620,-1.769530449927146,-3.000391962253666,14.969511317053938,-12.308615123265200,-20.057454539650465,-34.609411906552644
5003,50.019999999998618,-1.896698265092131,-3.211279908716295,14.631767378359765,-13.145816436241635,-22.144223712096771,-32.927217310705288
5004,50.029999999998616,-2.032866743827491,-3.443785536948629,14.311241667620736,-14.109187931211382,-24.383636041236642,-31.162554022718329
5005,50.039999999998614,-2.179312972104302,-3.699514621175115,14.008860487344904,-15.202016490708132,-26.791557213275194,-29.294561095169946
5006,50.049999999998612,-2.337352974065831,-3.980230965385836,13.725775834941823,-16.428779913200046,-29.383669339295253,-27.298864208764694
5007,50.059999999998610,-2.508352894793648,-4.287852623971780,13.463403545543756,-17.794997291781325,-32.175061173010612,-25.146961912995195
5008,50.069999999998608,-2.693738538766167,-4.624443322364841,13.223467932203782,-19.307047835986740,-35.179670577971955,-22.805539954749392
5009,50.079999999998606,-2.895002884721388,-4.992197365138631,13.008053630668133,-20.971944804172434,-38.409530621665468,-20.235717241940165
5010,50.089999999998604,-3.113711045590522,-5.393415781427003,12.819665279640164,-22.797047358364807,-41.873760113118735,-17.392235786948937
5011,50.099999999998602,-3.351501948055325,-5.830470806165107,12.661295481611639,-24.789688581097824,-45.577227267858497,-14.222620352688978
5012,50.109999999998600,-3.610085762590324,-6.305755017305040,12.536501139458757,-26.956692547147153,-49.518802058966607,-10.666353294867925
5013,50.119999999998598,-3.891235813902548,-6.821610539420385,12.449487675061915,-29.303747255178362,-53.689099943911678,-6.654138560677421
5014,50.129999999998596,-4.196773336868517,-7.380232696051916,12.405199707681691,-31.834593591833986,-58.067609364538924,-2.107368755141906
5015,50.139999999998594,-4.528543011018635,-7.983541390694167,12.409415371368365,-34.549983796755328,-62.619091666990187,3.062036244357095
5016,50.149999999998592,-4.888376710736415,-8.633012414390480,12.468839420396037,-37.446357036540654,-67.289151253653003,8.951178375615335
5017,50.159999999998590,-5.278042364323944,-9.329459991069671,12.591187420418246,-40.514176267457259,-71.998905587890548,15.664785281349026
5018,50.169999999998588,-5.699174259130815,-10.072761472890710,12.785249450445940,-43.735872137598946,-76.638753218224210,23.312424370140818
5019,50.179999999998586,-6.153180630308481,-10.861515646111867,13.060916672549046,-47.083350158033859,-81.061362518923701,32.003756562650594
5020,50.189999999998584,-6.641124043063389,-11.692628281085014,13.429147785106888,-50.515042380216251,-85.074208691165069,41.841134043831602
5021,50.199999999998582,-7.163570104068499,-12.560823297006591,13.901844902660457,-53.972531929380921,-88.432299080815866,52.908751845828981
5022,50.209999999998580,-7.720400683688078,-13.458086418249184,14.491600349275974,-57.376857345611057,-90.832171480732384,65.257551986514983
5023,50.219999999998578,-8.310589462931684,-14.373061861351815,15.211268433148195,-60.624723984201303,-91.908835942388606,78.885233966620461
5024,50.229999999998576,-8.931940700302688,-15.290442726054925,16.073311704827638,-63.585020257522373,-91.238029877418768,93.711163164290127
5025,50.239999999998574,-9.580797164612850,-16.190423090919239,17.088873015817910,-66.096259263063899,-88.346871381863281,109.546831601180386
5026,50.249999999998572,-10.251730676686647,-17.048313562840409,18.266537855250764,-67.965828861537631,-82.736518896853539,126.063951523941995
5027,50.259999999998570,-10.937238879934490,-17.834458641091938,19.610782005082342,-68.972197611574472,-73.920422585167529,142.764315771714820
5028,50.269999999998568,-11.627484393845098,-18.514625871489475,21.120153385566340,-68.871414776443771,-61.480683269885944,158.958114350447659
5029,50.279999999998566,-12.310126096570210,-19.051050079497948,22.785317081955995,-67.409239829277382,-45.142354195254448,173.759983198811000
5030,50.289999999998564,-12.970304232042437,-19.404292587750245,24.587194927362532,-64.339883557078082,-24.860827489015403,186.113725131053286
5031,50.299999999998562,-13.590847026208865,-19.535995225868696,26.495539597685802,-59.451481996598318,-.910895958972212,194.855950359032704
5032,50.309999999998560,-14.152760940002597,-19.412458470467818,28.468366297721733,-52.596975304652211,26.041134714477590,198.824240529668202
5033,50.319999999998558,-14.636044022644446,-19.008757132983106,30.452677422672352,-43.727131103386597,54.906251864561767,197.005866420304471
5034,50.329999999998556,-15.020818921491795,-18.312861714681414,32.386809665131175,-32.920427931896192,84.206335337666843,188.709353976866140
5035,50.339999999998554,-15.288721301936199,-17.329030653991513,34.204482218549700,-20.403093520553135,112.187630116216667,173.726767518786232
5036,50.349999999998552,-15.424410957747707,-16.079672091769638,35.840250577322493,-6.552611340219308,137.010919008110477,152.445468869754933
5037,50.359999999998550,-15.417014612807925,-14.605023276568293,37.235659384520872,8.119913362396325,156.991318966643234,125.870765583197596
5038,50.369999999998548,-15.261282426034764,-12.960378605356045,38.345077745178180,23.009038206787196,170.839531793807168,95.538457590868688
5039,50.379999999998546,-14.958260707078111,-11.211134598395763,39.140129876794752,37.471261086823482,177.848101606201624,63.325394473494612
5040,50.389999999998544,-14.515354036707111,-9.426447612191344,39.611871438159191,50.889064245157662,177.976872565799368,31.196567231005218
5041,50.399999999998542,-13.945755988702381,-7.672632077276109,39.770356649567383,62.731239114262713,171.819153812143327,.946370341936941
5042,50.409999999998540,-13.267340395614447,-6.007443913239694,39.641832968835409,72.598964823747536,160.463604739665783,-26.008751279047956
5043,50.419999999998538,-12.501193189539659,-4.476101210131989,39.264289361829356,80.250919794076694,145.293158665237172,-48.748165667752694
5044,50.429999999998536,-11.670006459115024,-3.109416191962309,38.682324932454186,85.605902671527161,127.772217152068123,-66.865959442267510
5045,50.439999999998534,-10.796546682028167,-1.923924305365823,37.942261872672645,88.726223766623434,109.266018738624823,-80.407626418222989
5046,50.449999999998532,-9.902359542897262,-.923542904110340,37.088172024283722,89.788166387869225,90.917889876268177,-89.756538174964518
5047,50.459999999998530,-9.006804740498033,-.102137350374457,36.159145041062004,89.046673901235764,73.589963584622737,-95.504455604630763
5048,50.469999999998528,-8.126446147974296,.553601769470824,35.187814558485030,86.800479174451198,57.857786161683414,-98.332987122988001
5049,50.479999999998526,-7.274769690617420,1.061426959141164,34.199945637186389,83.361966497585840,44.041749645738079,-98.921491703661374
5050,50.489999999998524,-6.462169063684276,1.441225610955594,33.214787332628269,79.033946746398698,32.257611763647454,-97.886209777248752
5051,50.499999999998522,-5.696126775245858,1.713251064548276,32.245886949623795,74.093778397941335,22.471859273870784,-95.747927127155350
5052,50.509999999998520,-4.981519974483525,1.896890813065168,31.302111262400011,68.784107875486939,14.552642398547496,-92.921696174431787
5053,50.519999999998518,-4.320991135924245,2.009900837206088,30.388691015228151,63.308919731303334,8.311611866056637,-89.721273075595946
5054,50.529999999998516,-3.715337784119518,2.068006428163798,29.508175018316017,57.833442122833162,3.535373202450844,-86.371809135868375
5055,50.539999999998514,-3.163889525536413,2.084768250420158,28.661237005368438,52.486577759565719,.007312584762108,-83.025941778324366
5056,50.549999999998512,-2.664852754165265,2.071625455388260,27.847318516491310,47.364782095535247,-2.478499127226432,-79.780092844367090
5057,50.559999999998510,-2.215612774021205,2.038046326347180,27.065115780817653,42.536591003683853,-4.109387744598429,-76.689163556882207
5058,50.569999999998508,-1.812989753974474,1.991735680340486,26.312931369047501,38.047254343149596,-5.050373822509110,-73.778813365209345
5059,50.579999999998506,-1.453449299045695,1.938864338091333,25.588916042328556,33.923136371370283,-5.443252626309213,-71.055150459353015
5060,50.589999999998504,-1.133271014235811,1.884298502127362,24.891225942055879,30.175695163631737,-5.407382031803674,-68.512023386777898
5061,50.599999999998502,-.848679759257016,1.831815978697904,24.218117400944585,26.804957379549204,-5.041423192402553,-66.136271546323371
5062,50.609999999998500,-.595944767149152,1.784302411935776,23.567997765354466,23.802471790849271,-4.425530951666129,-63.911339726349972
5063,50.619999999998498,-.371451746863419,1.743924750783862,22.939446629429664,21.153764976472814,-3.623676140377777,-61.819641573556119
5064,50.629999999998496,-.171752736265540,1.712281663442797,22.331218278857111,18.840343997083366,-2.685910435341163,-59.844004471239238
5065,50.639999999998494,.006402030723007,1.690532050763568,21.742233128821791,16.841300200405605,-1.650469634996867,-57.968465505397553
5066,50.649999999998492,.166046535023064,1.679503559444862,21.171563554169900,15.134570244217983,-.545665347989567,-56.178627064515013
5067,50.659999999998490,.309992505406117,1.679783316614492,20.618417700133470,13.697908112083748,.608451874382579,-54.461726961499195
5068,50.669999999998488,.440831434076387,1.691793171682904,20.082123541894688,12.509617376065167,1.798655662183328,-52.806533835018882
5069,50.679999999998486,.560942900910520,1.715851649742297,19.562114534432720,11.549087488317769,3.017320300863726,-51.203143956548701
5070,50.689999999998484,.672507441814220,1.752224661721954,19.057917570180638,10.797172199077336,4.261392317647752,-49.642729395743281
5071,50.699999999998482,.777522549929214,1.801166821102577,18.569143563462006,10.236442711733623,5.531536723450787,-48.117268349640447
5072,50.709999999998480,.877820698738077,1.862955009103926,18.095480744618751,9.851343103658493,6.831437004319577,-46.619274851174126
5073,50.719999999998478,.975088528028670,1.937915623170916,17.636690624435484,9.628270951422456,8.167228461354002,-45.141535706053126
5074,50.729999999998476,1.070886542247907,2.026446744165144,17.192606544489340,9.555602019172365,9.547045464119329,-43.676856238396368
