i,t,y1,y2,y3,y4,dy1,dy2,dy3,dy4
1,.000000000000000,.994000000000000,.000000000000000,.000000000000000,-2.001585106379082,.000000000000000,-2.001585106379082,-315.543035236719675,.000000000000000
2,.002096243164572,.993352308567166,-.004057339775658,-.579259069312263,-1.815935401837588,-.579259069312263,-1.815935401837588,-210.447778432919847,150.221096454848833
3,.004345179278860,.991647476888974,-.007740938785330,-.886351971598502,-1.462275142275611,-.886351971598502,-1.462275142275611,-76.620684776920413,147.142096372510082
4,.006786853792615,.989330730130370,-.010918748926161,-.987492162856630,-1.159470770133028,-.987492162856630,-1.159470770133028,-17.001542709805449,101.694743523426496
5,.009430545212157,.986691379580636,-.013674145217809,-1.000616156527973,-.940232393016863,-1.000616156527973,-.940232393016863,3.026228920657723,67.106144429916625
6,.012272302140969,.983870747176413,-.016108309541018,-.981846394144822,-.783083563592255,-.981846394144822,-.783083563592255,8.831477851262877,45.493531857375871
7,.015303668744871,.980937603546421,-.018296311880756,-.952859475736873,-.667200339939916,-.952859475736873,-.667200339939916,9.856290662013645,32.136247580060818
8,.018515052378714,.977927864915403,-.020289673289767,-.921851498892614,-.578766125898969,-.921851498892614,-.578766125898969,9.328638724754498,23.625826799562496
9,.021896912105217,.974861865991846,-.022123818931914,-.891897406054312,-.509091605517537,-.891897406054312,-.509091605517537,8.365955308519389,17.993000648937784
10,.025440161307961,.971752011849179,-.023823628800356,-.864067494625311,-.452647723749479,-.864067494625311,-.452647723749479,7.357803335604233,14.125961788816152
11,.029136280826629,.968606384538484,-.025407008332192,-.838626503546642,-.405816334417510,-.838626503546642,-.405816334417510,6.433028647518290,11.382893247542555
12,.032977322260465,.965430561314758,-.026887141670277,-.815516734393377,-.366155943841990,-.815516734393377,-.366155943841990,5.624895142849303,9.380603856144218
13,.036955870309183,.962228590426651,-.028273933838085,-.794560123604176,-.331970280065162,-.794560123604176,-.331970280065162,4.932134684555292,7.882169259797467
14,.041064991915168,.959003544762118,-.029574956053042,-.775544359492652,-.302049235850988,-.775544359492652,-.302049235850988,4.342193626715668,6.736184297556290
15,.045298183689511,.955757851692379,-.030796081583504,-.758259181251332,-.275508933610242,-.758259181251332,-.275508933610242,3.840112823969271,5.842937446477673
16,.049649322293933,.952493498134041,-.031941924332571,-.742510684547009,-.251690141358675,-.742510684547009,-.251690141358675,3.411772364447987,5.134957670391938
17,.054112619492505,.949212162845232,-.033016148528761,-.728125822825853,-.230091982950395,-.728125822825853,-.230091982950395,3.044898620229816,4.565467335214807
18,.058682582282223,.945915304554754,-.034021692161703,-.714952608145372,-.210327584947415,-.714952608145372,-.210327584947415,2.729198535301390,4.101321522335559
19,.063353977945897,.942604222303073,-.034960931383818,-.702858542887787,-.192093715306083,-.702858542887787,-.192093715306083,2.456178896245217,3.718570884642378
20,.068121803644355,.939280097724874,-.035835803657886,-.691728450424301,-.175149563860315,-.691728450424301,-.175149563860315,2.218877634788138,3.399602559025186
21,.072981260095455,.935944025246650,-.036647901516164,-.681462233464821,-.159301629588816,-.681462233464821,-.159301629588816,2.011596055526189,3.131255369798974
22,.077927728888881,.932597033977685,-.037398545009074,-.671972785345455,-.144392770964641,-.671972785345455,-.144392770964641,1.829662915169052,2.903551173286332
23,.082956753017352,.929240103750167,-.038088838444667,-.663184135596782,-.130294147610127,-.663184135596782,-.130294147610127,1.669237409850239,2.708824532855866
24,.088064020246796,.925874176944969,-.038719715368440,-.655029844301977,-.116899204494144,-.655029844301977,-.116899204494144,1.527148888893795,2.541115175258776
25,.093245348991077,.922500167219244,-.039291974611697,-.647451630435019,-.104119121794137,-.647451630435019,-.104119121794137,1.400768109705032,2.395737059725966
26,.098496676396777,.919118965913962,-.039806309462336,-.640398208238563,-.091879331688019,-.640398208238563,-.091879331688019,1.287904412644613,2.268968196679864
27,.103814048378853,.915731446695236,-.040263331469185,-.633824303200583,-.080116822161336,-.633824303200583,-.080116822161336,1.186723725782789,2.157824337045091
28,.109193611378365,.912338468831795,-.040663590005002,-.627689820570307,-.068778028488517,-.627689820570307,-.068778028488517,1.095683120648526,2.059891773732706
29,.114631605639196,.908940879406724,-.041007588435376,-.621959142272267,-.057817168529099,-.621959142272267,-.057817168529099,1.013478451524894,1.973202373262693
30,.120124359822336,.905539514688852,-.041295797538295,-.616600531399163,-.047194916732596,-.616600531399163,-.047194916732596,.939002321930236,1.896139158572336
31,.125668286794421,.902135200837556,-.041528666670119,-.611585626668692,-.036877339174861,-.611585626668692,-.036877339174861,.871310208937508,1.827364254115619
32,.131259880442531,.898728754077620,-.041706633063052,-.606889012102762,-.026835031604553,-.606889012102762,-.026835031604553,.809593045865008,1.765763378985144
33,.136895713380162,.895320980453690,-.041830129556314,-.602487849666631,-.017042416727173,-.602487849666631,-.017042416727173,.753154933790299,1.710402711139056
34,.142572435420446,.891912675253780,-.041899591000739,-.598361564698265,-.007477167395464,-.598361564698265,-.007477167395464,.701394941011444,1.660495088960743
35,.148286772702393,.888504622176091,-.041915459529163,-.594491575702261,.001880269896071,-.594491575702261,.001880269896071,.653792173920828,1.615373323867039
36,.154035527364635,.885097592301772,-.041878188848826,-.590861061525346,.011047071039129,-.590861061525346,.011047071039129,.609893476890327,1.574468974363748
37,.159815577669044,.881692342927053,-.041788247684356,-.587454760118947,.020038365334078,-.587454760118947,.020038365334078,.569303254017909,1.537295348070554
38,.165623878484021,.878289616300786,-.041646122478652,-.584258794071634,.028867513668279,-.584258794071634,.028867513668279,.531675010836192,1.503433801439559
39,.171457462044273,.874890138307273,-.041452319442530,-.581260518897556,.037546343474658,-.581260518897556,.037546343474658,.496704296210437,1.472522629853028
40,.177313438910751,.871494617129078,-.041207366031258,-.578448390727815,.046085348136484,-.578448390727815,.046085348136484,.464122788946376,1.444248006170933
41,.183188999061104,.868103741919881,-.040911811916142,-.575811850595986,.054493856981859,-.575811850595986,.054493856981859,.433693324142020,1.418336549487518
42,.189081413047634,.864718181513400,-.040566229511435,-.573341222958200,.062780180820083,-.573341222958200,.062780180820083,.405205694157762,1.394549199083918
43,.194988033166293,.861338583190617,-.040171214110602,-.571027626459726,.070951737034055,-.571027626459726,.070951737034055,.378473090625690,1.372676139353571
44,.200906294586783,.857965571524122,-.039727383680836,-.568862895268041,.079015157499953,-.568862895268041,.079015157499953,.353329078999233,1.352532575608162
45,.206833716400235,.854599747315140,-.039235378360508,-.566839509548501,.086976382013795,-.566839509548501,.086976382013795,.329625017164236,1.333955202341889
46,.212767902547227,.851241686635777,-.038695859700644,-.564950533872224,.094840739430793,-.564950533872224,.094840739430793,.307227845677343,1.316799237814432
47,.218706542595095,.847891939986210,-.038109509688350,-.563189562524311,.102613018342282,-.563189562524311,.102613018342282,.286018190107758,1.300935923975229
48,.224647412339338,.844551031573854,-.037477029587314,-.561550670830193,.110297528806871,-.561550670830193,.110297528806871,.265888726386926,1.286250410478196
49,.230588374209651,.841219458719135,-.036799138627855,-.560028371743732,.117898156402195,-.560028371743732,.117898156402195,.246742768526752,1.272639957087006
50,.236527377466387,.837897691390194,-.036076572576574,-.558617577046827,.125418409659463,-.558617577046827,.125418409659463,.228493044949386,1.260012401095514
51,.242462458178286,.834586171866813,-.035310082213253,-.557313562600040,.132861461775706,-.557313562600040,.132861461775706,.211060635293651,1.248284846205109
