i,t,y1,y2,y3,y4,dy1,dy2,dy3,dy4
1,.000000000000000,.994000000000000,.000000000000000,.000000000000000,-2.001585106379082,.000000000000000,-2.001585106379082,-315.543035236719675,.000000000000000
2,.001718750000000,.993555312740833,-.003361428532013,-.494516129586497,-1.870200306860433,-.494516129586497,-1.870200306860433,-238.438637306413796,136.255293884602992
3,.003554687500000,.992320621446260,-.006537690898565,-.811867508488746,-1.583578180569659,-.811867508488746,-1.583578180569659,-113.713956841716424,158.821423401974556
4,.005566406250000,.990518601366760,-.009422678257906,-.954724650707956,-1.296697386829199,-.954724650707956,-1.296697386829199,-38.739160221312318,123.747781643324558
5,.007792968750000,.988330597828264,-.012036533633424,-.998842899457662,-1.065072945404239,-.998842899457662,-1.065072945404239,-6.392905191215613,86.417562697800150
6,.010234375000000,.985888332335441,-.014409079767813,-.997097622303529,-.889339440740093,-.997097622303529,-.889339440740093,5.564259506386419,59.719251529606268
7,.012890625000000,.983265368817821,-.016584029865045,-.976237688806762,-.756004350374427,-.976237688806762,-.756004350374427,9.281039080299788,42.158863010647146
8,.015742187500000,.980520704081963,-.018585848211285,-.948540515373433,-.653423955695780,-.948540515373433,-.653423955695780,9.837476429635897,30.711897943217483
9,.018789062500000,.977675617601126,-.020447381027448,-.919305098600821,-.572369174103472,-.919305098600821,-.572369174103472,9.257178554350892,23.068996719303790
10,.022011718750000,.974759525313296,-.022182147609788,-.890938878911916,-.507034613980725,-.890938878911916,-.507034613980725,8.332153680137091,17.841170501753496
11,.025410156250000,.971777941570849,-.023810040500061,-.864288386333222,-.453071963542435,-.864288386333222,-.453071963542435,7.365903103237448,14.152724331258481
12,.028964843750000,.968750250961975,-.025337268312079,-.839732753904865,-.407776878635187,-.839732753904865,-.407776878635187,6.472658125961411,11.489415468821193
13,.032675781250000,.965676729686073,-.026776301835428,-.817221616423626,-.369004723965536,-.817221616423626,-.369004723965536,5.683058080410809,9.514851567876388
14,.036542968750000,.962557087872774,-.028136186725646,-.796610159994238,-.335252550912448,-.796610159994238,-.335252550912448,4.998000580739419,8.017148528556778
15,.040546875000000,.959405953320181,-.029417549042200,-.777811745137627,-.305572100350463,-.777811745137627,-.305572100350463,4.410500439167309,6.863327163095382
16,.044687500000000,.956221628447377,-.030626735732892,-.760624560400968,-.279111908025990,-.760624560400968,-.279111908025990,3.906855723931640,5.957621618662022
17,.048945312500000,.953017083757385,-.031763450550171,-.744935063631401,-.255341197820723,-.744935063631401,-.255341197820723,3.475894897416516,5.237925454294643
18,.053320312500000,.949790024130097,-.032832401987087,-.730562158748821,-.233745287549188,-.730562158748821,-.233745287549188,3.105403096544403,4.657123621509283
19,.057812500000000,.946538412357772,-.033837126702695,-.717351488813006,-.213930932870263,-.717351488813006,-.213930932870263,2.785256939198745,4.182031935878173
20,.062402343750000,.943274206645268,-.034776433246381,-.705220562272953,-.195666296944084,-.705220562272953,-.195666296944084,2.508249836816078,3.790257768963073
21,.067089843750000,.939995123910528,-.035653234168018,-.694042999931358,-.178690520758261,-.694042999931358,-.178690520758261,2.267138277326420,3.463450587688703
22,.071894531250000,.936685786486188,-.036472923174481,-.683671893526041,-.162734538179196,-.683671893526041,-.162734538179196,2.055283975419057,3.187022188567473
23,.076777343750000,.933371281162091,-.037230504765326,-.674100474283839,-.147761203060061,-.674100474283839,-.147761203060061,1.869660257760148,2.952984907193096
24,.081738281250000,.930049423367838,-.037928056050120,-.665240372480790,-.133621524872734,-.665240372480790,-.133621524872734,1.706087039494446,2.753049987209635
25,.086777343750000,.926718262221684,-.038567188565772,-.657016553867102,-.120194191900745,-.657016553867102,-.120194191900745,1.561178084796740,2.580871249410325
26,.091894531250000,.923376044214512,-.039149131019916,-.649364895799775,-.107379324081430,-.649364895799775,-.107379324081430,1.432169005509419,2.431522186374341
27,.097089843750000,.920021183391716,-.039674793598433,-.642230270291741,-.095093854617335,-.642230270291741,-.095093854617335,1.316786178150697,2.301130345838200
28,.102363281250000,.916652236694296,-.040144818560026,-.635565017432280,-.083268063931507,-.635565017432280,-.083268063931507,1.213146239959565,2.186617151043370
29,.107714843750000,.913267883420534,-.040559620483571,-.629327721064019,-.071842942706042,-.629327721064019,-.071842942706042,1.119678496480947,2.085509771235540
30,.113105468750000,.909891263562838,-.040917043326495,-.623522663434547,-.060846133464263,-.623522663434547,-.060846133464263,1.035640329354818,1.996407512033726
31,.118574218750000,.906496469362530,-.041220350903265,-.618071702943260,-.050150201591303,-.618071702943260,-.050150201591303,.959224779818546,1.916921950583782
32,.124082031250000,.903106436603220,-.041467861414284,-.612982468412444,-.039790850502998,-.612982468412444,-.039790850502998,.889975401753110,1.846204050094641
33,.129628906250000,.899719659602138,-.041660508111952,-.608223528900823,-.029728908909123,-.608223528900823,-.029728908909123,.826969615491702,1.782997458522966
34,.135234375000000,.896322964195284,-.041799447118937,-.603752380046963,-.019896913326862,-.603752380046963,-.019896913326862,.769237159488491,1.726080169206962
35,.140898437500000,.892915321776317,-.041884739360407,-.599547995810393,-.010268606698032,-.599547995810393,-.010268606698032,.716167951204266,1.674651935513699
36,.146601562500000,.889507401182779,-.041916326570576,-.595604753591486,-.000852704491288,-.595604753591486,-.000852704491288,.667396043735130,1.628189094939815
37,.152343750000000,.886098077456184,-.041894617501992,-.591903410208791,.008373663637587,-.591903410208791,.008373663637587,.622426621068854,1.586075130480566
38,.158105468750000,.882697793788168,-.041820260490869,-.588438251288112,.017400401574879,-.588438251288112,.017400401574879,.580967991508680,1.547911612060637
39,.163886718750000,.879305376057055,-.041693994574918,-.585191853941666,.026247360957368,-.585191853941666,.026247360957368,.542619644915120,1.513220587455459
40,.169707031250000,.875908362049755,-.041515779163717,-.582138859082031,.034960990510640,-.582138859082031,.034960990510640,.506920591051464,1.481494629075113
41,.175546875000000,.872517213715161,-.041286518747880,-.579276709816942,.043526742141970,-.579276709816942,.043526742141970,.473702696693102,1.452506465639101
42,.181406250000000,.869130965343858,-.041006700674416,-.576593004152666,.051958569449557,-.576593004152666,.051958569449557,.442702117136939,1.425955426139887
43,.187304687500000,.865737497019764,-.040675565604642,-.574068574835833,.060296308797221,-.574068574835833,.060296308797221,.413594926709573,1.401504653835991
44,.193203125000000,.862358423765514,-.040295664094436,-.571710176231873,.068495946995407,-.571710176231873,.068495946995407,.386370666317123,1.379090626424401
45,.199101562500000,.858992797837703,-.039867776585196,-.569507293967616,.076568848670000,-.569507293967616,.076568848670000,.360832944757375,1.358498430625044
46,.205039062500000,.855617564461527,-.039389317264561,-.567437345786089,.084577520193830,-.567437345786089,.084577520193830,.336654973598714,1.339420995217492
47,.210976562500000,.852254203538031,-.038863633744357,-.565506787276286,.092477422635523,-.565506787276286,.092477422635523,.313856402858013,1.321834595360763
48,.216914062500000,.848901910926738,-.038291346440134,-.563707842893508,.100276968397209,-.563707842893508,.100276968397209,.292300337972228,1.305593984014347
49,.222851562500000,.845559926335748,-.037673028271536,-.562033502830971,.107983761094101,-.562033502830971,.107983761094101,.271865356139471,1.290571504322107
50,.228789062500000,.842227529034896,-.037009209170267,-.560477437628593,.115604692111803,-.560477437628593,.115604692111803,.252443387401306,1.276654513706840
51,.234726562500000,.838904034040633,-.036300380057459,-.559033924339979,.123146023197375,-.559033924339979,.123146023197375,.233937929291103,1.263743240094624
52,.240664062500000,.835588788709498,-.035546996366290,-.557697782459096,.130613457398224,-.557697782459096,.130613457398224,.216262535907055,1.251748988711247
53,.246601562500000,.832281169686798,-.034749481173244,-.556464318123437,.138012200231346,-.556464318123437,.138012200231346,.199339533874478,1.240592634887681
54,.252539062500000,.828980580165108,-.033908227991291,-.555329275364553,.145347012622695,-.555329275364553,.145347012622695,.183098926781774,1.230203351447360
55,.258457031250000,.825697273398807,-.033026583940651,-.554292064919302,.152598418349235,-.554292064919302,.152598418349235,.167527892380281,1.220548301641540
56,.264355468750000,.822430643037299,-.032105312299456,-.553348303998745,.159770949207684,-.553348303998745,.159770949207684,.152563841693492,1.211564081749612
57,.270253906250000,.819169322069788,-.031141886746522,-.552491298657451,.166892242265111,-.552491298657451,.166892242265111,.138103307803014,1.203166897430355
58,.276152343750000,.815912807256696,-.030136599566592,-.551718218396510,.173965621998702,-.551718218396510,.173965621998702,.124099711264303,1.195310654500359
59,.282011718750000,.812682135824446,-.029096793389948,-.551030813945443,.180947748163441,-.551030813945443,.180947748163441,.110599204184104,1.188000581994484
60,.287871093750000,.809455262574556,-.028016199149169,-.550421410228406,.187888392062950,-.550421410228406,.187888392062950,.097469357365266,1.181145395635406
61,.293691406250000,.806253216691314,-.026902660389363,-.549891249029747,.194744228971453,-.549891249029747,.194744228971453,.084759296036114,1.174752309137227
62,.299511718750000,.803054042961885,-.025749324592489,-.549434178441322,.201563987994141,-.549434178441322,.201563987994141,.072348581137377,1.168743217230487
63,.305312500000000,.799868044493593,-.024560464513790,-.549049718869555,.208327103252642,-.549049718869555,.208327103252642,.060248237503410,1.163108019488075
64,.311093750000000,.796694791483254,-.023336666163516,-.548735683603111,.215035877134583,-.548735683603111,.215035877134583,.048428841116024,1.157817195579260
65,.316835937500000,.793544583094967,-.022082829283632,-.548490785947806,.221669911351527,-.548490785947806,.221669911351527,.036902292071686,1.152860016922509
66,.322578125000000,.790395591996645,-.020790978720848,-.548311520781602,.228276280213418,-.548311520781602,.228276280213418,.025565474443212,1.148177863451024
67,.328281250000000,.787268858275860,-.019470442123926,-.548197423374526,.234811825573922,-.548197423374526,.234811825573922,.014472875615775,1.143779693999491
68,.333984375000000,.784142595693603,-.018112702736177,-.548146159615766,.241322959420858,-.548146159615766,.241322959420858,.003527567274026,1.139614105152867
69,.339648437500000,.781037860573047,-.016727575342525,-.548156658029245,.247766595401408,-.548156658029245,.247766595401408,-.007214743530610,1.135689962912296
70,.345273437500000,.777954309418769,-.015315941046590,-.548226983893746,.254144349548587,-.548226983893746,.254144349548587,-.017773055751103,1.131986906409502
71,.350898437500000,.774870196162344,-.013868489507175,-.548356428207758,.260501782537076,-.548356428207758,.260501782537076,-.028237099625605,1.128462243420057
72,.356484375000000,.771806617167182,-.012395754857624,-.548542994240105,.266795907996464,-.548542994240105,.266795907996464,-.038549362951749,1.125124642477274
73,.362031250000000,.768763272452186,-.010898578908644,-.548785070206033,.273027985454629,-.548785070206033,.273027985454629,-.048724642900204,1.121957693152412
74,.367578125000000,.765718428720061,-.009366882419988,-.549083436579428,.279242874803521,-.549083436579428,.279242874803521,-.058847619352300,1.118925242308625
75,.373085937500000,.762693236841838,-.007811907922525,-.549435144702537,.285397694587189,-.549435144702537,.285397694587189,-.068859078672826,1.116035654385857
76,.378554687500000,.759687434267892,-.006234464402013,-.549838830427556,.291493420133263,-.549838830427556,.291493420133263,-.078770617705716,1.113275467246680
77,.384003906250000,.756690023894531,-.004629537442008,-.550294932959717,.297552632130784,-.550294932959717,.297552632130784,-.088628174083250,1.110622765635812
78,.389433593750000,.753700739705665,-.002997560879542,-.550802799700657,.303575990124392,-.550802799700657,.303575990124392,-.098441440387773,1.108066677506917
79,.394824218750000,.750730090886144,-.001345008999226,-.551359718332221,.309542496560134,-.551359718332221,.309542496560134,-.108184172042124,1.105605655849218
80,.400175781250000,.747777859545581,.000327347442057,-.551964570175227,.315452827664591,-.551964570175227,.315452827664591,-.117864718210774,1.103229170783457
81,.405507812500000,.744833045972121,.002025023476852,-.552618777177515,.321329097326286,-.552618777177515,.321329097326286,-.127526151358239,1.100918961972072
82,.410820312500000,.741895413797041,.003747609085594,-.553321879614568,.327171725581046,-.553321879614568,.327171725581046,-.137175762104113,1.098666216056623
83,.416093750000000,.738975553579803,.005488194996010,-.554070588802859,.332959667807277,-.554070588802859,.332959667807277,-.146784733811896,1.096470550043833
84,.421328125000000,.736073285811863,.007246041843808,-.554863955614671,.338693374224314,-.554863955614671,.338693374224314,-.156359034596113,1.094323526635337
85,.426542968750000,.733177587546343,.009027145105461,-.555704305609948,.344394578554253,-.555704305609948,.344394578554253,-.165940073292541,1.092209298270769
86,.431738281250000,.730288247455517,.010831113210913,-.556591314160557,.350063515129507,-.556591314160557,.350063515129507,-.175533367331059,1.090120493046141
87,.436894531250000,.727415947682748,.012650610532629,-.557521068006581,.355679128029864,-.557521068006581,.355679128029864,-.185107719170919,1.088057792720256
88,.442011718750000,.724560542608374,.014484924129091,-.558492732331306,.361241695189802,-.558492732331306,.361241695189802,-.194667292971004,1.086014305043249
89,.447109375000000,.721710967874361,.016340511929181,-.559509483333817,.366772629295135,-.559509483333817,.366772629295135,-.204252692979197,1.083975674523020
90,.452187500000000,.718867033959139,.018216996864250,-.560571088925782,.372272018567095,-.560571088925782,.372272018567095,-.213868080434427,1.081935566483454
91,.457226562500000,.716039525319858,.020106626555167,-.561672970546996,.377718827902168,-.561672970546996,.377718827902168,-.223479953188577,1.079895767737993
92,.462226562500000,.713228327000011,.022008710895051,-.562814366592828,.383113203802573,-.562814366592828,.383113203802573,-.233091064534834,1.077850569286182
93,.467207031250000,.710422316898754,.023930153810170,-.563999269226672,.388476277003494,-.563999269226672,.388476277003494,-.242741842483095,1.075786395507487
94,.472167968750000,.707621325049631,.025870589845477,-.565227506775309,.393808019763370,-.565227506775309,.393808019763370,-.252435373453063,1.073697681741818
95,.477089843750000,.704836249229732,.027821860298148,-.566493799647176,.399087449080251,-.566493799647176,.399087449080251,-.262135864437007,1.071587448740180
96,.481972656250000,.702067002826542,.029783295356391,-.567797428312079,.404314612149239,-.567797428312079,.404314612149239,-.271844931879105,1.069450930515197
97,.486835937500000,.699302391090367,.031762229562196,-.569143179183602,.409510381764701,-.569143179183602,.409510381764701,-.281603295275397,1.067274757714896
98,.491679687500000,.696542262070276,.033758306998759,-.570530916233483,.414674637994212,-.570530916233483,.414674637994212,-.291413159352663,1.065053959231554
99,.496484375000000,.693797637964025,.035762973804494,-.571954626761268,.419786482043749,-.571954626761268,.419786482043749,-.301236423771659,1.062792976872039
100,.501250000000000,.691068458831814,.037775578736042,-.573413609412797,.424845887896460,-.573413609412797,.424845887896460,-.311073764257118,1.060487829021307
101,.505996093750000,.688343443503674,.039803872302939,-.574913432362824,.429873482752058,-.574913432362824,.429873482752058,-.320966543860041,1.058124873145789
102,.510722656250000,.685622457019318,.041847506688076,-.576453975805619,.434869073896447,-.576453975805619,.434869073896447,-.330916220876990,1.055699616925539
103,.515410156250000,.682916657047461,.043897544718730,-.578028464870181,.439811880605054,-.578028464870181,.439811880605054,-.340882361765039,1.053218149708405
104,.520078125000000,.680214688020607,.045962038417310,-.579643051163365,.444722346431195,-.579643051163365,.444722346431195,-.350907001824831,1.050666319342886
105,.524726562500000,.677516426106591,.048040644453575,-.581297618494565,.449600232777797,-.581297618494565,.449600232777797,-.360991115988430,1.048039912879281
106,.529335937500000,.674833136847887,.050124144574448,-.582984803071359,.454424869138957,-.582984803071359,.454424869138957,-.371092512443677,1.045346393194236
107,.533925781250000,.672153383264972,.052220885040201,-.584711339937031,.459216512812414,-.584711339937031,.459216512812414,-.381254015975864,1.042570885071206
108,.538496093750000,.669477052453343,.054330526617659,-.586477109303756,.463974886823977,-.586477109303756,.463974886823977,-.391476156348130,1.039709428772400
109,.543027343750000,.666815524164923,.056443576631430,-.588274143518143,.468679451929077,-.588274143518143,.468679451929077,-.401714968103907,1.036771016193179
110,.547539062500000,.664157273253656,.058568668361341,-.590109762503931,.473350273787727,-.590109762503931,.473350273787727,-.412014159239693,1.033739849855578
