i,t,y1,y2,y3,y4,dy1,dy2,dy3,dy4
1,.000000000000000,.994000000000000,.000000000000000,.000000000000000,-2.001585106379082,.000000000000000,-2.001585106379082,-315.543035236719675,.000000000000000
2,.000000445057549,.993999999968749,-.000000890820560,-.000140434808892,-2.001585096478034,-.000140434808892,-2.001585096478034,-315.543028907904841,.044493337380519
3,.000001335172647,.993999999718743,-.000002672461644,-.000421304404143,-2.001585017269657,-.000421304404143,-2.001585017269657,-315.542978277394297,.133479994141869
4,.000003115402842,.993999998468712,-.000006235743426,-.000983043346777,-2.001584621227931,-.000983043346777,-2.001584621227931,-315.542725125041272,.311453109668178
5,.000006675863233,.993999992968578,-.000013362303463,-.002106518978702,-2.001582878647506,-.002106518978702,-2.001582878647506,-315.541611258239129,.667397540759563
6,.000013796784016,.993999969968091,-.000027615393643,-.004353451134369,-2.001575591549014,-.004353451134369,-2.001575591549014,-315.536953332592873,1.379271139488226
7,.000028038625580,.993999875967275,-.000056121328091,-.008847158259616,-2.001545810434036,-.008847158259616,-2.001545810434036,-315.517917645778255,2.802892780790836
8,.000056522308709,.993999495983244,-.000113131202777,-.017833297905847,-2.001425434080744,-.017833297905847,-2.001425434080744,-315.440982108221135,5.649118033607984
9,.000113489674966,.993997968359170,-.000227134895670,-.035795317295342,-2.000941643349756,-.035795317295342,-2.000941643349756,-315.131899051032235,11.333376875494515
10,.000227424407482,.993991846875411,-.000455013572987,-.071637197558252,-1.999005410555173,-.071637197558252,-1.999005410555173,-313.896801162138956,22.636392512052083
11,.000455293872513,.993967408857011,-.000909745153334,-.142668860346255,-1.991313869706147,-.142668860346255,-1.991313869706147,-309.020712468401143,44.725512722964361
12,.000911032802574,.993870842786009,-.001811170512589,-.279704294338447,-1.961507025770969,-.279704294338447,-1.961507025770969,-290.577294672040807,85.007342697586381
13,.001822510662697,.993502731519476,-.003554740058636,-.518861808519204,-1.855827008491209,-.518861808519204,-1.855827008491209,-230.812312184017003,140.711736508043828
