i,t,y1,y2,y3,y4,dy1,dy2,dy3,dy4
1,.000000000000000,.994000000000000,.000000000000000,.000000000000000,-2.001585106379082,.000000000000000,-2.001585106379082,-315.543035236719675,.000000000000000
2,.004267370982785,.991719381155227,-.007626011963859,-.881202641440402,-1.475237040439455,-.881202641440402,-1.475237040439455,-79.821169537404543,148.454624087219315
3,.008534741965570,.987595722094729,-.012810697348439,-1.004892848022402,-1.003349414165517,-1.004892848022402,-1.003349414165517,-1.266426465327891,76.809276257727944
4,.012802112948356,.983351825904187,-.016516960790721,-.977061924906056,-.759753226024924,-.977061924906056,-.759753226024924,9.227043192000547,42.613327671040643
5,.017069483931141,.979272802502480,-.019444126070746,-.936849903090439,-.612030926234596,-.936849903090439,-.612030926234596,9.637898521200761,26.926007788868603
6,.021336854913926,.975364409961022,-.021851008348556,-.897606929566160,-.516585652567116,-.897606929566160,-.516585652567116,8.521130330707695,18.753704100582357
7,.025604225896711,.971610354135906,-.023897724916480,-.862865417173499,-.450336614958158,-.862865417173499,-.450336614958158,7.313670937811544,13.981118494853657
8,.029871596879496,.966011567235296,-.026425521630157,-.823892790642458,-.381858321673654,-.823892790642458,-.381858321673654,5.834694083845084,9.759475020278710
9,.034138967862281,.958049903313934,-.029622219735901,-.776971879522817,-.306021024404982,-.776971879522817,-.306021024404982,4.241052880197216,6.490541731710864
10,.038406338845067,.950403344625786,-.032498374997236,-.735888273714645,-.242145195033935,-.735888273714645,-.242145195033935,3.183031169039979,4.767675065605724
11,.042673709827852,.945695975476951,-.034086047586253,-.714116554175173,-.209071186300043,-.714116554175173,-.209071186300043,2.709845037265439,4.073616894019605
12,.046941080810637,.942672257709271,-.034942600529313,-.703086402398069,-.192433166730933,-.703086402398069,-.192433166730933,2.461412391777311,3.725705271827357
13,.051208451793422,.939693552274087,-.035730980204064,-.693048643406781,-.177163825364349,-.693048643406781,-.177163825364349,2.246630054288058,3.436197661459196
14,.055475822776207,.936756058576896,-.036456286136384,-.683878200480054,-.163052734734113,-.683878200480054,-.163052734734113,2.059502718232643,3.192404148763328
15,.059743193758993,.933855959407949,-.037123632791528,-.675449676188784,-.149889537089245,-.675449676188784,-.149889537089245,1.895322230969121,2.984872949959255
16,.064010564741778,.930989770457286,-.037737490763014,-.667655821915889,-.137506402201771,-.667655821915889,-.137506402201771,1.750356835758098,2.806492173971891
17,.068277935724563,.928155352040080,-.038300373426861,-.660440800808230,-.125825243070549,-.660440800808230,-.125825243070549,1.621616563294179,2.651939108738468
18,.072545306707348,.925350782495193,-.038814507351303,-.653756072887625,-.114778630162950,-.653756072887625,-.114778630162950,1.506662988712958,2.517070579665805
19,.076812677690133,.922574140161485,-.039282119104576,-.647553098175892,-.104299133946347,-.647553098175892,-.104299133946347,1.403495842427351,2.398603971163247
20,.081080048672919,.919823503377817,-.039705435254915,-.641783336694850,-.094319324888115,-.641783336694850,-.094319324888115,1.310470179548268,2.293908775999787
21,.085347419655704,.917096950483050,-.040086682370554,-.636398248466317,-.084771773455625,-.636398248466317,-.084771773455625,1.226230071563028,2.200854191853372
22,.089614790638489,.914392559816045,-.040428087019728,-.631349293512111,-.075589050116251,-.631349293512111,-.075589050116251,1.149655575859031,2.117696344455295
23,.093882161621274,.911708403177626,-.040731840761048,-.626589808203656,-.066708471217141,-.626589808203656,-.066708471217141,1.079811421165041,2.042997252467321
24,.098149532604059,.909043092501155,-.040999354329383,-.622094099361726,-.058102413205678,-.622094099361726,-.058102413205678,1.015882912303935,1.975606075580677
25,.102416903586844,.906395869258259,-.041231364291402,-.617849613055022,-.049756683572913,-.617849613055022,-.049756683572913,.957180322100711,1.914591832584115
26,.106684274569630,.903765997330995,-.041428588759508,-.613843997422261,-.041656923127722,-.613843997422261,-.041656923127722,.903109712042323,1.859169581448498
27,.110951645552415,.901152740601421,-.041591745846105,-.610064900602157,-.033788772678979,-.610064900602157,-.033788772678979,.853157314872023,1.808672783922886
28,.115219016535200,.898555362951592,-.041721553663600,-.606499970733425,-.026137873035561,-.606499970733425,-.026137873035561,.806877725697901,1.762532068247012
29,.119486387517985,.895973128263566,-.041818730324395,-.603136855954780,-.018689865006343,-.603136855954780,-.018689865006343,.763884001966543,1.720258263025043
30,.123753758500770,.893405300419399,-.041883993940896,-.599963204404936,-.011430389400201,-.599963204404936,-.011430389400201,.723839345703749,1.681428757300846
31,.128021129483556,.890851143301150,-.041918062625507,-.596966664222609,-.004345087026009,-.596966664222609,-.004345087026009,.686450097870398,1.645676468504148
32,.132288500466341,.888309920790873,-.041921654490633,-.594134883546513,.002580401307355,-.594134883546513,.002580401307355,.651459822096969,1.612680868317535
33,.136555871449126,.885780896770627,-.041895487648678,-.591455510515364,.009360434791018,-.591455510515364,.009360434791018,.618644294423249,1.582160642543964
