i,t,y1,y2,y3,y4,dy1,dy2,dy3,dy4
1,.000000000000000,.994000000000000,.000000000000000,.000000000000000,-2.001585106379082,.000000000000000,-2.001585106379082,-315.543035236719675,.000000000000000
2,.004267370982785,.991663799381564,-.007501321492380,-.851400920568198,-1.490912748423879,-.851400920568198,-1.490912748423879,-82.499386231110648,153.068804688239055
3,.008534741965570,.987602238989709,-.012568092902033,-.988619241432184,-1.038775890171125,-.988619241432184,-1.038775890171125,-1.333849864978656,79.693091843919319
4,.012802112948356,.983386291515528,-.016264341019760,-.968395295217334,-.793594224172732,-.968395295217334,-.793594224172732,9.563205815173232,43.806753355917991
5,.017069483931141,.979402543703652,-.019104842351426,-.939236317792349,-.642538547299248,-.939236317792349,-.642538547299248,9.979922482091711,27.802102435321913
6,.021336854913926,.975585135740369,-.021332316129930,-.903676591443280,-.558911490365703,-.903676591443280,-.558911490365703,8.925482704499411,19.522682370189202
7,.025604225896711,.971767727777086,-.023559789908434,-.868116865094211,-.475284433432158,-.868116865094211,-.475284433432158,7.505197071648410,14.293295539244243
8,.029871596879496,.968039132492513,-.025625473739129,-.835469340170248,-.400787861564582,-.835469340170248,-.400787861564582,6.302734836332339,10.997542798592422
9,.034138967862281,.964759498812123,-.026873284766477,-.817543436556624,-.372447280955767,-.817543436556624,-.372447280955767,5.569669697702346,9.106952305313026
10,.038406338845067,.961479865131734,-.028121095793825,-.799617532943000,-.344106700346953,-.799617532943000,-.344106700346953,4.894710440237682,7.668248287050401
11,.042673709827852,.958200231451344,-.029368906821172,-.781691629329376,-.315766119738138,-.781691629329376,-.315766119738138,4.298736458759731,6.558988220916881
12,.046941080810637,.954920597770955,-.030616717848520,-.763765725715752,-.287425539129324,-.763765725715752,-.287425539129324,3.783690189356713,5.691200249210476
13,.051208451793422,.951640964090565,-.031864528875868,-.745839822102128,-.259084958520509,-.745839822102128,-.259084958520509,3.343537782525461,5.002122284686582
14,.055475822776207,.948361330410175,-.033112339903216,-.727913918488504,-.230744377911695,-.727913918488504,-.230744377911695,2.969520198840051,4.446852584081808
15,.059743193758993,.945234927172396,-.034121396958979,-.713588557627067,-.207946799863763,-.713588557627067,-.207946799863763,2.677758973843166,4.020290867591781
16,.064010564741778,.942419356844936,-.034646133858941,-.706567014227266,-.196393381844060,-.706567014227266,-.196393381844060,2.466313585114415,3.710670027472272
17,.068277935724563,.939603786517476,-.035170870758904,-.699545470827465,-.184839963824357,-.699545470827465,-.184839963824357,2.272273002533695,3.443544899462419
18,.072545306707348,.936788216190015,-.035695607658867,-.692523927427664,-.173286545804654,-.692523927427664,-.173286545804654,2.094967203873519,3.211941261280737
19,.076812677690133,.933972645862555,-.036220344558829,-.685502384027862,-.161733127784951,-.685502384027862,-.161733127784951,1.933417643197008,3.010112222861524
20,.081080048672919,.931157075535095,-.036745081458792,-.678480840628061,-.150179709765248,-.678480840628061,-.150179709765248,1.786497785554994,2.833322746514095
21,.085347419655704,.928341505207634,-.037269818358755,-.671459297228260,-.138626291745545,-.671459297228260,-.138626291745545,1.653034513552227,2.677666869957758
22,.089614790638489,.925525934880174,-.037794555258718,-.664437753828459,-.127072873725842,-.664437753828459,-.127072873725842,1.531870236632805,2.539915827801191
23,.093882161621274,.922710364552714,-.038319292158680,-.657416210428658,-.115519455706139,-.657416210428658,-.115519455706139,1.421899175707510,2.417393425057537
24,.098149532604059,.919894794225253,-.038844029058643,-.650394667028857,-.103966037686436,-.650394667028857,-.103966037686436,1.322086889906200,2.307874537866842
25,.102416903586844,.917079223897793,-.039368765958606,-.643373123629056,-.092412619666733,-.643373123629056,-.092412619666733,1.231479101114868,2.209502792511334
26,.106684274569630,.914263653570333,-.039893502858569,-.636351580229255,-.080859201647030,-.636351580229255,-.080859201647030,1.149203832876915,2.120723923346973
27,.110951645552415,.911448083242872,-.040418239758531,-.629330036829453,-.069305783627327,-.629330036829453,-.069305783627327,1.074469508221821,2.040231837694139
28,.115219016535200,.908632512915412,-.040942976658494,-.622308493429652,-.057752365607624,-.622308493429652,-.057752365607624,1.006560732251151,1.966924926894226
29,.119486387517985,.906033864016099,-.041008909226545,-.618460507090936,-.049595809147836,-.618460507090936,-.049595809147836,.952387952699498,1.907364707713165
30,.123753758500770,.903546822353993,-.040838784507215,-.616245332866408,-.043186956163514,-.616245332866408,-.043186956163514,.904967672256991,1.856246547842330
31,.128021129483556,.901059780691887,-.040668659787884,-.614030158641880,-.036778103179193,-.614030158641880,-.036778103179193,.859754062453178,1.809092632690167
32,.132288500466341,.898572739029781,-.040498535068554,-.611814984417352,-.030369250194871,-.611814984417352,-.030369250194871,.816692761425314,1.765533915133791
33,.136555871449126,.896085697367674,-.040328410349224,-.609599810192824,-.023960397210550,-.609599810192824,-.023960397210550,.775717892429026,1.725236747943400
34,.140823242431911,.893598655705568,-.040158285629893,-.607384635968296,-.017551544226228,-.607384635968296,-.017551544226228,.736755539738072,1.687899793960450
35,.145090613414696,.891111614043462,-.039988160910563,-.605169461743768,-.011142691241907,-.605169461743768,-.011142691241907,.699726509811035,1.653251080960773
36,.149357984397482,.888624572381356,-.039818036191233,-.602954287519240,-.004733838257585,-.602954287519240,-.004733838257585,.664548507397017,1.621045236476624
37,.153625355380267,.886137530719249,-.039647911471903,-.600739113294712,.001675014726736,-.600739113294712,.001675014726736,.631137835064193,1.591060920936014
38,.157892726363052,.883650489057143,-.039477786752572,-.598523939070185,.008083867711058,-.598523939070185,.008083867711058,.599410706295666,1.563098465592503
39,.162160097345837,.881163447395037,-.039307662033242,-.596308764845657,.014492720695379,-.596308764845657,.014492720695379,.569284246637045,1.536977713582022
40,.166427468328622,.878676405732931,-.039137537313912,-.594093590621129,.020901573679701,-.594093590621129,.020901573679701,.540677244147685,1.512536057067831
41,.170694839311407,.876189364070825,-.038967412594581,-.591878416396601,.027310426664022,-.591878416396601,.027310426664022,.513510699318900,1.489626660068883
42,.174962210294193,.873702322408718,-.038797287875251,-.589663242172073,.033719279648344,-.589663242172073,.033719279648344,.487708215392069,1.468116854642847
43,.179229581276978,.871215280746612,-.038627163155921,-.587448067947545,.040128132632665,-.587448067947545,.040128132632665,.463196262367324,1.447886697188614
44,.183496952259763,.868728239084506,-.038457038436591,-.585232893723017,.046536985616987,-.585232893723017,.046536985616987,.439904341694662,1.428827671429602
