i,t,y1,y2,y3,y4,dy1,dy2,dy3,dy4
1,.000000000000000,.994000000000000,.000000000000000,.000000000000000,-2.001585106379082,.000000000000000,-2.001585106379082,-315.543035236719675,.000000000000000
2,.004267370982785,.991716195837140,-.007626688840103,-.880274526043192,-1.473774195558250,-.880274526043192,-1.473774195558250,-79.780502918487556,148.510707666836822
3,.008534741965570,.987588399319064,-.012803660238494,-1.001563711189637,-1.004586564150369,-1.001563711189637,-1.004586564150369,-1.224888095816620,76.883542100425601
4,.012802112948356,.983351748167532,-.016516868227906,-.977062100569766,-.759747634880729,-.977062100569766,-.759747634880729,9.227376981945142,42.613597036368517
5,.017069483931141,.979270248024850,-.019427125568037,-.935589818101402,-.615230747746252,-.935589818101402,-.615230747746252,9.657267260551844,26.953266566647873
6,.021336854913926,.975362598812700,-.021835679385808,-.896632253968081,-.519372962360617,-.896632253968081,-.519372962360617,8.531240038638156,18.765095289315660
7,.025604225896711,.971610234372949,-.023897504384358,-.862866406073961,-.450332415759168,-.862866406073961,-.450332415759168,7.313840041909706,13.981155226396794
8,.029871596879496,.967991330581979,-.025702134595589,-.833959527557186,-.397599460916762,-.833959527557186,-.397599460916762,6.266755249271932,10.944778839177248
9,.034138967862281,.964486836840379,-.027305986497758,-.809110631855159,-.355536618605389,-.809110631855159,-.355536618605389,5.408760538708836,8.893456580793874
10,.038406338845067,.961081082124269,-.028746990776834,-.787569359128492,-.320854543468302,-.787569359128492,-.320854543468302,4.710877073881601,7.439174207533933
11,.042673709827852,.957761307215452,-.030051949137763,-.768723841810497,-.291504087052375,-.768723841810497,-.291504087052375,4.140207400780406,6.368069134342466
12,.046941080810637,.954517078053546,-.031240554754295,-.752092363246960,-.266140596836548,-.752092363246960,-.266140596836548,3.669148478891696,5.554467550299520
13,.051208451793422,.951339783942826,-.032327740299420,-.737297702436985,-.243843784896873,-.737297702436985,-.243843784896873,3.276226589225282,4.920562323534885
14,.055475822776207,.948222244864495,-.033325125015366,-.724042922775029,-.223961564806787,-.724042922775029,-.223961564806787,2.945082560991238,4.416055439835107
15,.059743193758993,.945158411731473,-.034241946917434,-.712092139894567,-.206018266796717,-.712092139894567,-.206018266796717,2.663275726787862,4.007231216399002
16,.064010564741778,.942143138327484,-.035085685984989,-.701256010803641,-.189658243931999,-.701256010803641,-.189658243931999,2.421289170160093,3.670781412442843
17,.068277935724563,.939172006859896,-.035862494067920,-.691380945077163,-.174609892326740,-.691380945077163,-.174609892326740,2.211776258070382,3.390159302111408
18,.072545306707348,.936241193338666,-.036577499559838,-.682341085738041,-.160661940268153,-.682341085738041,-.160661940268153,2.029007487897392,3.153344192793304
19,.076812677690133,.933347362631442,-.037235028426037,-.674032313117248,-.147647377254356,-.674032313117248,-.147647377254356,1.868467736138365,2.951425077869844
20,.081080048672919,.930487585797652,-.037838767864815,-.666367722053998,-.135432289845591,-.666367722053998,-.135432289845591,1.726562503388969,2.777677118837076
21,.085347419655704,.927659274305455,-.038391889699038,-.659274176698546,-.123907935805866,-.659274176698546,-.123907935805866,1.600402279747423,2.626943995560017
22,.089614790638489,.924860127171341,-.038897144911292,-.652689659482360,-.112985007461027,-.652689659482360,-.112985007461027,1.487642889438730,2.495215390147498
23,.093882161621274,.922088088091346,-.039356937118047,-.646561210729447,-.102589407178276,-.646561210729447,-.102589407178276,1.386366151537352,2.379332055868728
24,.098149532604059,.919341310373990,-.039773380417122,-.640843311820935,-.092659087604704,-.640843311820935,-.092659087604704,1.294989798829117,2.276776165306932
25,.102416903586844,.916618128022694,-.040148345467069,-.635496604726158,-.083141654799593,-.635496604726158,-.083141654799593,1.212198818983034,2.185519805577457
26,.106684274569630,.913917031708944,-.040483496584155,-.630486869072197,-.073992526657289,-.630486869072197,-.073992526657289,1.136892628304669,2.103913842555372
27,.110951645552415,.911236648668139,-.040780321898666,-.625784198230096,-.065173501354146,-.625784198230096,-.065173501354146,1.068144057911391,2.030605275997025
28,.115219016535200,.908575725766843,-.041040158087674,-.621362330561199,-.056651632555318,-.621362330561199,-.056651632555318,1.005167235266012,1.964475006990296
